id,time,value 
1,2025:05:06 07:19:15,125.23 
2,2025:05:06 07:19:15,56358.58 
1,2025:05:06 07:20:45,19330.50 
2,2025:05:06 07:20:45,80874.07 
1,2025:05:06 07:22:15,58500.98 
2,2025:05:06 07:22:15,47987.36 
1,2025:05:06 07:23:45,35029.21 
2,2025:05:06 07:23:45,89596.25 
1,2025:05:06 07:25:15,82284.02 
2,2025:05:06 07:25:15,74660.51 
1,2025:05:06 07:26:45,17410.89 
2,2025:05:06 07:26:45,85894.36 
1,2025:05:06 07:28:15,71050.17 
2,2025:05:06 07:28:15,51353.55 
1,2025:05:06 07:29:45,30399.55 
2,2025:05:06 07:29:45,1498.56 
1,2025:05:06 07:31:15,9140.38 
2,2025:05:06 07:31:15,36445.27 
1,2025:05:06 07:32:45,14731.37 
2,2025:05:06 07:32:45,16589.95 
1,2025:05:06 07:34:15,98852.51 
2,2025:05:06 07:34:15,44569.29 
1,2025:05:06 07:35:45,11908.41 
2,2025:05:06 07:35:45,467.03 
1,2025:05:06 07:37:15,891.24 
2,2025:05:06 07:37:15,37788.08 
1,2025:05:06 07:38:45,53166.34 
2,2025:05:06 07:38:45,57118.48 
1,2025:05:06 07:40:15,60176.44 
2,2025:05:06 07:40:15,60716.62 
1,2025:05:06 07:41:45,16623.51 
2,2025:05:06 07:41:45,66304.55 
1,2025:05:06 07:43:15,45078.95 
2,2025:05:06 07:43:15,35212.32 
1,2025:05:06 07:44:45,5704.00 
2,2025:05:06 07:44:45,60768.50 
1,2025:05:06 07:46:15,78331.88 
2,2025:05:06 07:46:15,80260.65 
1,2025:05:06 07:47:45,51988.33 
2,2025:05:06 07:47:45,30195.08 
1,2025:05:06 07:49:15,87597.29 
2,2025:05:06 07:49:15,72667.65 
1,2025:05:06 07:50:45,95590.08 
2,2025:05:06 07:50:45,92571.80 
1,2025:05:06 07:52:15,53935.41 
2,2025:05:06 07:52:15,14233.92 
1,2025:05:06 07:53:45,46208.13 
2,2025:05:06 07:53:45,23532.90 
1,2025:05:06 07:55:15,86223.95 
2,2025:05:06 07:55:15,20960.19 
1,2025:05:06 07:56:45,77965.66 
2,2025:05:06 07:56:45,84365.38 
1,2025:05:06 07:58:15,99679.55 
2,2025:05:06 07:58:15,99969.48 
1,2025:05:06 07:59:45,61149.98 
2,2025:05:06 07:59:45,39243.81 
1,2025:05:06 08:01:15,26621.37 
2,2025:05:06 08:01:15,29728.15 
1,2025:05:06 08:02:45,84014.42 
2,2025:05:06 08:02:45,2374.44 
1,2025:05:06 08:04:15,37586.66 
2,2025:05:06 08:04:15,9262.46 
1,2025:05:06 08:05:45,67720.61 
2,2025:05:06 08:05:45,5621.60 
1,2025:05:06 08:07:15,879.03 
2,2025:05:06 08:07:15,91879.03 
1,2025:05:06 08:08:45,27588.80 
2,2025:05:06 08:08:45,27289.72 
1,2025:05:06 08:10:15,58790.90 
2,2025:05:06 08:10:15,69118.35 
1,2025:05:06 08:11:45,83761.12 
2,2025:05:06 08:11:45,72649.34 
1,2025:05:06 08:13:15,48493.96 
2,2025:05:06 08:13:15,20535.98 
1,2025:05:06 08:14:45,74373.63 
2,2025:05:06 08:14:45,46845.97 
1,2025:05:06 08:16:15,45796.13 
2,2025:05:06 08:16:15,94915.62 
1,2025:05:06 08:17:45,74443.83 
2,2025:05:06 08:17:45,10828.06 
1,2025:05:06 08:19:15,59904.82 
2,2025:05:06 08:19:15,38523.57 
1,2025:05:06 08:20:45,73500.80 
2,2025:05:06 08:20:45,60896.68 
1,2025:05:06 08:22:15,57240.56 
2,2025:05:06 08:22:15,36133.98 
1,2025:05:06 08:23:45,15155.58 
2,2025:05:06 08:23:45,22510.53 
1,2025:05:06 08:25:15,42515.39 
2,2025:05:06 08:25:15,80288.12 
1,2025:05:06 08:26:45,51710.61 
2,2025:05:06 08:26:45,98998.99 
1,2025:05:06 08:28:15,75154.91 
2,2025:05:06 08:28:15,34556.18 
1,2025:05:06 08:29:45,16898.18 
2,2025:05:06 08:29:45,65730.80 
1,2025:05:06 08:31:15,49189.79 
2,2025:05:06 08:31:15,6354.05 
1,2025:05:06 08:32:45,69975.92 
2,2025:05:06 08:32:45,50480.71 
1,2025:05:06 08:34:15,14749.68 
2,2025:05:06 08:34:15,94958.34 
1,2025:05:06 08:35:45,14157.62 
2,2025:05:06 08:35:45,90511.80 
1,2025:05:06 08:37:15,69289.26 
2,2025:05:06 08:37:15,30304.95 
1,2025:05:06 08:38:45,42655.78 
2,2025:05:06 08:38:45,7037.66 
1,2025:05:06 08:40:15,96661.28 
2,2025:05:06 08:40:15,68318.77 
1,2025:05:06 08:41:45,15323.43 
2,2025:05:06 08:41:45,87725.47 
1,2025:05:06 08:43:15,82168.05 
2,2025:05:06 08:43:15,58204.95 
1,2025:05:06 08:44:45,19135.19 
2,2025:05:06 08:44:45,17789.32 
1,2025:05:06 08:46:15,81719.43 
2,2025:05:06 08:46:15,47526.53 
1,2025:05:06 08:47:45,15555.37 
2,2025:05:06 08:47:45,50392.21 
1,2025:05:06 08:49:15,73201.73 
2,2025:05:06 08:49:15,40559.16 
1,2025:05:06 08:50:45,27958.08 
2,2025:05:06 08:50:45,56874.34 
1,2025:05:06 08:52:15,68224.16 
2,2025:05:06 08:52:15,75585.22 
1,2025:05:06 08:53:45,72191.56 
2,2025:05:06 08:53:45,47529.58 
1,2025:05:06 08:55:15,12302.10 
2,2025:05:06 08:55:15,36780.97 
1,2025:05:06 08:56:45,83468.14 
2,2025:05:06 08:56:45,3509.73 
1,2025:05:06 08:58:15,51701.46 
2,2025:05:06 08:58:15,66298.45 
1,2025:05:06 08:59:45,42622.21 
2,2025:05:06 08:59:45,10467.94 
1,2025:05:06 09:01:15,94933.93 
2,2025:05:06 09:01:15,92138.45 
1,2025:05:06 09:02:45,54954.72 
2,2025:05:06 09:02:45,34598.90 
1,2025:05:06 09:04:15,47172.51 
2,2025:05:06 09:04:15,37498.16 
1,2025:05:06 09:05:45,84698.04 
2,2025:05:06 09:05:45,31687.43 
1,2025:05:06 09:07:15,45609.97 
2,2025:05:06 09:07:15,27189.01 
1,2025:05:06 09:08:45,98297.07 
2,2025:05:06 09:08:45,29780.03 
1,2025:05:06 09:10:15,73918.91 
2,2025:05:06 09:10:15,56727.85 
1,2025:05:06 09:11:45,19599.07 
2,2025:05:06 09:11:45,76131.50 
1,2025:05:06 09:13:15,83944.23 
2,2025:05:06 09:13:15,39765.68 
1,2025:05:06 09:14:45,50090.08 
2,2025:05:06 09:14:45,89016.40 
1,2025:05:06 09:16:15,2746.76 
2,2025:05:06 09:16:15,99462.88 
1,2025:05:06 09:17:45,57258.87 
2,2025:05:06 09:17:45,5050.91 
1,2025:05:06 09:19:15,53132.77 
2,2025:05:06 09:19:15,19406.80 
1,2025:05:06 09:20:45,84304.35 
2,2025:05:06 09:20:45,62675.90 
1,2025:05:06 09:22:15,65761.32 
2,2025:05:06 09:22:15,19785.23 
1,2025:05:06 09:23:45,84215.84 
2,2025:05:06 09:23:45,12332.62 
1,2025:05:06 09:25:15,10992.86 
2,2025:05:06 09:25:15,74312.59 
1,2025:05:06 09:26:45,31406.67 
2,2025:05:06 09:26:45,94106.88 
1,2025:05:06 09:28:15,28608.12 
2,2025:05:06 09:28:15,33631.46 
1,2025:05:06 09:29:45,14026.39 
2,2025:05:06 09:29:45,73308.54 
1,2025:05:06 09:31:15,83462.03 
2,2025:05:06 09:31:15,70799.91 
1,2025:05:06 09:32:45,60023.84 
2,2025:05:06 09:32:45,74721.55 
1,2025:05:06 09:34:15,25272.45 
2,2025:05:06 09:34:15,14447.55 
1,2025:05:06 09:35:45,161.85 
2,2025:05:06 09:35:45,6100.74 
1,2025:05:06 09:37:15,80623.82 
2,2025:05:06 09:37:15,85262.63 
1,2025:05:06 09:38:45,21057.85 
2,2025:05:06 09:38:45,11560.50 
1,2025:05:06 09:40:15,55320.95 
2,2025:05:06 09:40:15,1425.31 
1,2025:05:06 09:41:45,11377.39 
2,2025:05:06 09:41:45,45451.27 
1,2025:05:06 09:43:15,75222.05 
2,2025:05:06 09:43:15,68614.80 
1,2025:05:06 09:44:45,54344.36 
2,2025:05:06 09:44:45,7388.62 
1,2025:05:06 09:46:15,43672.04 
2,2025:05:06 09:46:15,20194.18 
1,2025:05:06 09:47:45,69621.91 
2,2025:05:06 09:47:45,29035.38 
1,2025:05:06 09:49:15,43668.99 
2,2025:05:06 09:49:15,23242.97 
1,2025:05:06 09:50:45,57786.84 
2,2025:05:06 09:50:45,53257.90 
1,2025:05:06 09:52:15,62868.17 
2,2025:05:06 09:52:15,16019.25 
1,2025:05:06 09:53:45,50413.57 
2,2025:05:06 09:53:45,96304.21 
1,2025:05:06 09:55:15,69576.12 
2,2025:05:06 09:55:15,92480.24 
1,2025:05:06 09:56:45,18994.80 
2,2025:05:06 09:56:45,33594.84 
1,2025:05:06 09:58:15,17835.10 
2,2025:05:06 09:58:15,99517.81 
1,2025:05:06 09:59:45,45744.25 
2,2025:05:06 09:59:45,99801.63 
1,2025:05:06 10:01:15,9750.75 
2,2025:05:06 10:01:15,62517.20 
1,2025:05:06 10:02:45,9439.46 
2,2025:05:06 10:02:45,43772.75 
